STT,X,Y,Label,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,NDVI,NDWI
1,615590.3,2336607,Residential Land,962.0555556,949.1111111,555.1666667,2519.277778,2175.277778,1642.6,933.3333333,0.447306268,-0.452707789
2,585794.3,2339791,Residential Land,919.9655172,935.2068966,565.4827586,2678.551724,2643.482759,2066,1493.448276,0.488697452,-0.482418725
3,599393.4,2316068,Residential Land,854.40625,880.34375,518.46875,2457.0625,2316.625,1824.214286,1005.25,0.483971425,-0.472438364
4,572787.4,2334035,Residential Land,839.0606061,837.4242424,469.7575758,2725.333333,2645.090909,2133.722222,1290.484848,0.529198725,-0.529901081
5,527397.3,2339141,Residential Land,626.8888889,726.3055556,365.4166667,2831.888889,2177.611111,1620.75,916.8333333,0.637508433,-0.591756119
6,605527.4,2339897,Residential Land,956.8285714,973.9714286,566.8857143,2729.628571,2475.028571,2158.75,1180.6,0.480895323,-0.474040702
7,572805.8,2333367,Residential Land,927.0645161,881.0967742,517.2903226,2607.419355,2590.903226,2431.5,1681.354839,0.475417317,-0.494858707
8,558264.5,2333759,Residential Land,866.1818182,889.0681818,487.0227273,2753.886364,2616.977273,1927.55,1231.022727,0.521455523,-0.511897186
9,588335.9,2297681,Residential Land,1020.196078,1025.352941,639.745098,2110.411765,1606.313725,1190.653846,684.3529412,0.348244092,-0.346026863
10,574839.6,2316299,Residential Land,702.2702703,775.8378378,420.1621622,2869.135135,2729.243243,1979.555556,1267.162162,0.606726098,-0.57429707
11,553929.6,2335138,Residential Land,780.3846154,800.0769231,446.025641,2650.717949,2556.820513,2083.066667,1321.307692,0.545111462,-0.536294128
12,592291.8,2332136,Residential Land,821.65625,852.875,470.1875,2898.21875,2577.6875,2102.133333,1376.25,0.558234484,-0.545265964
13,590602.9,2286680,Residential Land,913.9,959.18,554.2,2376.72,1764.6,1295.954545,734.22,0.444542366,-0.4249348
14,548590.9,2335710,Residential Land,645.6176471,716.9705882,356.5588235,2869.323529,2731.176471,1901.2,1141.176471,0.63264384,-0.600160743
15,592987.5,2292879,Residential Land,800.9555556,869.1333333,510.2444444,2662.488889,2234.577778,1777.210526,1009.6,0.53748035,-0.507799375
16,577694.2,2335482,Residential Land,848.3333333,864.0833333,490.5,2769.166667,2595,2090,1306.166667,0.530983644,-0.524346889
17,525203.3,2345630,Residential Land,437,586.7209302,284.6511628,3163.139535,2944.674419,1764.235294,810.255814,0.757231632,-0.687070527
18,563118.9,2337954,Residential Land,759.65625,770.21875,420.8125,2932,2788.40625,1918.866667,1233.71875,0.58844692,-0.583915051
19,562135.8,2328264,Residential Land,837.1276596,873.6808511,479.5957447,2702.404255,2562.808511,2142,1466.787234,0.526983974,-0.511375806
20,537885.8,2357064,Residential Land,856.9545455,876.5909091,505.6363636,2622.545455,2613.045455,1920,1337.863636,0.507426616,-0.498967278
21,598850.7,2297703,Residential Land,778.1,840.2333333,489.4333333,1986.333333,1857,1287,836.6666667,0.437063654,-0.40547425
22,597587.9,2329123,Residential Land,735.8888889,817.7777778,429.4814815,2885.888889,2557.222222,1835.384615,1010.148148,0.59363112,-0.558395584
23,605231.1,2329533,Residential Land,812.2916667,852.1666667,470.7916667,2938.875,2693.541667,2040.727273,1327.916667,0.566912516,-0.55043139
24,531938.6,2356625,Residential Land,802.725,798,452.3,2113.325,2151.925,1878.5625,1256.325,0.449443597,-0.451796004
25,551858.9,2332058,Residential Land,684.6842105,742.2894737,390.3947368,2636.605263,2601.236842,1900.857143,1157.605263,0.587699768,-0.560631786
26,580048.3,2319341,Residential Land,938.9375,847.5625,598.4375,1700.8125,1818.625,1816.888889,1576.375,0.288616346,-0.33482121
27,564229.3,2311751,Residential Land,791.3818182,833.4181818,434.3272727,2725.672727,2580.945455,2052.625,1244.781818,0.549974669,-0.531667944
28,582239.9,2284844,Residential Land,819.3125,853.4375,499.1041667,2396.645833,2243.708333,1900.181818,1126.958333,0.4904707,-0.474821158
29,542344.1,2353995,Residential Land,1137.142857,1039.714286,619.9285714,1897.857143,1913.357143,1875.090909,1375.714286,0.250647211,-0.292126635
30,576088.1,2322507,Residential Land,1118.5625,1036.6875,659.5,2239.90625,2273.53125,2244.785714,1728.8125,0.33388542,-0.367216336
31,582930.6,2338076,Residential Land,754.4545455,808.0909091,448,2588.454545,2258.909091,1678.823529,879.5757576,0.548623953,-0.524168942
32,589539.4,2314992,Residential Land,765.1764706,827.8823529,489.9411765,2483.294118,2122.941176,1723.6,1103.176471,0.528900478,-0.499946705
33,581101.7,2324417,Residential Land,978.2857143,912.5,612.8571429,1894.285714,1776.571429,1907.333333,1429.714286,0.318878058,-0.34979005
34,585267.1,2311293,Residential Land,874.68,897.04,531.44,2620.04,2545.68,2000.166667,1293.16,0.499427708,-0.489895027
35,574166.1,2329402,Residential Land,995.6451613,950.3870968,560.4193548,2509.741935,2425.645161,2146.166667,1672.83871,0.431934258,-0.450663783
